service_id,date,exception_type
53,20240501,2
53,20240515,2
53,20240610,2
53,20240701,2
53,20240918,2
53,20241011,2
53,20241225,2
54,20240210,2
54,20240213,2
54,20240329,2
54,20240330,2
54,20240501,2
54,20240515,2
54,20240918,2
54,20241001,2
54,20241011,2
54,20241225,2
55,20240101,2
55,20240210,2
55,20240212,2
55,20240213,2
55,20240329,2
55,20240330,2
55,20240401,2
55,20240501,2
55,20240515,2
55,20240610,2
55,20240701,2
55,20240918,2
55,20241001,2
55,20241011,2
55,20241225,2
56,20240210,2
56,20240329,2
56,20240330,2
56,20240404,2
56,20241011,2
56,20241226,2
57,20240101,2
57,20240210,2
57,20240212,2
57,20240329,2
57,20240330,2
57,20240401,2
57,20240404,2
57,20240610,2
57,20240701,2
57,20241011,2
57,20241226,2
58,20240210,2
58,20240213,2
58,20240329,2
58,20240330,2
58,20240404,2
58,20241001,2
58,20241011,2
58,20241226,2
59,20240101,2
59,20240210,2
59,20240212,2
59,20240213,2
59,20240329,2
59,20240330,2
59,20240401,2
59,20240404,2
59,20240610,2
59,20240701,2
59,20241001,2
59,20241011,2
59,20241226,2
60,20240210,2
60,20240329,2
60,20240330,2
60,20240404,2
60,20240501,2
60,20240515,2
60,20240918,2
60,20241011,2
60,20241225,2
60,20241226,2
61,20240101,2
61,20240210,2
61,20240212,2
61,20240329,2
61,20240330,2
61,20240401,2
61,20240404,2
61,20240501,2
61,20240515,2
61,20240610,2
61,20240701,2
61,20240918,2
61,20241011,2
61,20241225,2
61,20241226,2
62,20240210,2
62,20240213,2
62,20240329,2
62,20240330,2
62,20240404,2
62,20240501,2
62,20240515,2
62,20240918,2
62,20241001,2
62,20241011,2
62,20241225,2
62,20241226,2
63,20240101,2
63,20240210,2
63,20240212,2
63,20240213,2
63,20240329,2
63,20240330,2
63,20240401,2
63,20240404,2
63,20240501,2
63,20240515,2
63,20240610,2
63,20240701,2
63,20240918,2
63,20241001,2
63,20241011,2
63,20241225,2
63,20241226,2
65,20240101,2
65,20240212,2
65,20240401,2
65,20240610,2
65,20240701,2
66,20240213,2
66,20241001,2
67,20240101,2
67,20240212,2
67,20240213,2
67,20240401,2
67,20240610,2
67,20240701,2
67,20241001,2
68,20240501,2
68,20240515,2
68,20240918,2
68,20241225,2
69,20240101,2
69,20240212,2
69,20240401,2
69,20240501,2
69,20240515,2
69,20240610,2
69,20240701,2
69,20240918,2
69,20241225,2
70,20240213,2
70,20240501,2
70,20240515,2
70,20240918,2
70,20241001,2
70,20241225,2
71,20240101,2
71,20240212,2
71,20240213,2
71,20240401,2
71,20240501,2
71,20240515,2
71,20240610,2
71,20240701,2
71,20240918,2
71,20241001,2
71,20241225,2
72,20240404,2
72,20241226,2
73,20240101,2
73,20240212,2
73,20240401,2
73,20240404,2
73,20240610,2
73,20240701,2
73,20241226,2
74,20240213,2
74,20240404,2
74,20241001,2
74,20241226,2
75,20240101,2
75,20240212,2
75,20240213,2
75,20240401,2
75,20240404,2
75,20240610,2
75,20240701,2
75,20241001,2
75,20241226,2
76,20240404,2
76,20240501,2
76,20240515,2
76,20240918,2
76,20241225,2
76,20241226,2
77,20240101,2
77,20240212,2
77,20240401,2
77,20240404,2
77,20240501,2
77,20240515,2
77,20240610,2
77,20240701,2
77,20240918,2
77,20241225,2
77,20241226,2
78,20240213,2
78,20240404,2
78,20240501,2
78,20240515,2
78,20240918,2
78,20241001,2
78,20241225,2
78,20241226,2
79,20240101,2
79,20240212,2
79,20240213,2
79,20240401,2
79,20240404,2
79,20240501,2
79,20240515,2
79,20240610,2
79,20240701,2
79,20240918,2
79,20241001,2
79,20241225,2
79,20241226,2
80,20240329,2
80,20241011,2
81,20240101,2
81,20240212,2
81,20240329,2
81,20240401,2
81,20240610,2
81,20240701,2
81,20241011,2
82,20240213,2
82,20240329,2
82,20241001,2
82,20241011,2
83,20240101,2
83,20240212,2
83,20240213,2
83,20240329,2
83,20240401,2
83,20240610,2
83,20240701,2
83,20241001,2
83,20241011,2
84,20240329,2
84,20240501,2
84,20240515,2
84,20240918,2
84,20241011,2
84,20241225,2
85,20240101,2
85,20240212,2
85,20240329,2
85,20240401,2
85,20240501,2
85,20240515,2
85,20240610,2
85,20240701,2
85,20240918,2
85,20241011,2
85,20241225,2
86,20240213,2
86,20240329,2
86,20240501,2
86,20240515,2
86,20240918,2
86,20241001,2
86,20241011,2
86,20241225,2
87,20240101,2
87,20240212,2
87,20240213,2
87,20240329,2
87,20240401,2
87,20240501,2
87,20240515,2
87,20240610,2
87,20240701,2
87,20240918,2
87,20241001,2
87,20241011,2
87,20241225,2
88,20240329,2
88,20240404,2
88,20241011,2
88,20241226,2
89,20240101,2
89,20240212,2
89,20240329,2
89,20240401,2
89,20240404,2
89,20240610,2
89,20240701,2
89,20241011,2
89,20241226,2
90,20240213,2
90,20240329,2
90,20240404,2
90,20241001,2
90,20241011,2
90,20241226,2
91,20240101,2
91,20240212,2
91,20240213,2
91,20240329,2
91,20240401,2
91,20240404,2
91,20240610,2
91,20240701,2
91,20241001,2
91,20241011,2
91,20241226,2
92,20240329,2
92,20240404,2
92,20240501,2
92,20240515,2
92,20240918,2
92,20241011,2
92,20241225,2
92,20241226,2
93,20240101,2
93,20240212,2
93,20240329,2
93,20240401,2
93,20240404,2
93,20240501,2
93,20240515,2
93,20240610,2
93,20240701,2
93,20240918,2
93,20241011,2
93,20241225,2
93,20241226,2
94,20240213,2
94,20240329,2
94,20240404,2
94,20240501,2
94,20240515,2
94,20240918,2
94,20241001,2
94,20241011,2
94,20241225,2
94,20241226,2
95,20240101,2
95,20240212,2
95,20240213,2
95,20240329,2
95,20240401,2
95,20240404,2
